tconst,convert_text,genres
tt8982650,stori madman collect short stori stori take place differ hotel room hotel night christma eve stori share theme crime stori supernatur twist,"Comedy,Crime,Drama"
tt8974570,time run desper cash two mongolian immigr turn crime solut,"Crime,Drama,Thriller"
tt8907844,small maharashtrian town woman rise polit hierarchi creat rippl across socialpolit spectrum direct makarand mane kaagar star rinku rajguru lead roleguruji known close aid aabaasaheb switch parti bhaiyaasaheb upcom elect bhaiyaasaheb youth leader believ develop changesyuvraj hot temper guy readi anyth guruji bhaiyasaheb secretli romanc rani daughter gurujirani yuvraj plan elop get marriedon wed day yuvraj rush help guruji depress aabaashaeb might elimin also tell respons death yuvraj fatherguruji yuvraj plan kill aabaasaheb meet,"Crime,Drama"
tt8905306,anna travel tibet find highaltitud church serv mission meet father edwardsh lost new environ howev pass acclimat anna happili begin overcom difficulti transit,Crime
tt8824508,weilai liu also known runlai liu born runlai enter beij academi appli art work design filmmak began creat independ film current live beij,"Crime,Fantasy,Mystery"
tt8820540,retir detect get pull larger conspiraci decid investig abduct high school student,"Action,Crime,Mystery"
tt8742576,unfinish youth special featur come place rent cheap rental hous live alon later attack mistreat group unknown peopl nearbi final spirit close collaps seal room later landlord came open room chamber still intact one cruel evil thing happen unscrupul movi,"Crime,Drama,Fantasy"
tt8709364,stand comedian brutal alterego interrog polic content hard drive,"Crime,Horror"
tt8685842,derrick baker aka lucki might unluckiest man america noth tri ever work job relationship especi make money stay true form one night stand ever goe terribl wrong pay big,"Comedy,Crime"
tt8651728,old man tri recov memori woman want find daughter sinist world await,"Crime,Drama,Thriller"
tt8585488,stranger come small town set motion seri event would affect live live includ nefari neonazi gang run crimin underworld,"Comedy,Crime,Thriller"
tt8530898,stori set backdrop middl reach yellow river jinshaan grand canyon year ago pursu ruthless crimin qin jin gun battl broke outlaw polic qin fled unscath wherea policemen tianjiao kill jiang han serious wound year later jiang trail qin pure coincid wei wei daughter tianjiao becom key figur event shot year ago alter live path cross jiang goe qin secret long buri begin surfac past return haunt present tower boulder steep cliff along rage yellow river bear wit crime punish well braveri honor time old score settl event wei wei never forget,"Crime,Drama"
tt8526312,storytel tussl sustain develop context rural india film spring thunder narrat stori uranium mine tender highest plateau india enrich thick forest popul variou nativ commun start conflict policymak crime money polit rage local level concern land acquisit univers environment concern selfish polit inadequaci lead local tribe unit retali surviv exist exist forest time frame scientif commun across globe continu rais alarm environ health planet earth spring thunder reinforc global concern drama plot stori film showcas exot natur beauti chotanagpur plateau india cultur emot valu concern local commun film aspir bring crude realiti situat world way awar sensitis rebel,"Crime,Drama"
tt8467036,young lawyer take extrem measur vie promot fianc life begin unravel meet someon new,"Crime,Drama,Thriller"
tt8426906,photograph come face face forc threaten road redempt,"Crime,Drama,History"
tt8386758,efe head south africa invit admir busi mogul vacat paradis get caught high octan drug crime battl supremaci rage among cape town underground gang fight surf soak beach picturesqu wine estat famou tabl mountain stake get higher bodi count start rise betray becom currenc see next day innoc lamb amidst brutal wolv negoti step surviv love life,Crime
tt8368304,sanitari psychoneurolog dispensari mental ill prison becom hostag institut conscious refus accept fact four person settl investig author imput commiss terribl act doubt treat psychiatrist separ life imprison within wall dispensari,"Crime,Drama,Mystery"
tt8326634,five femal prison nazi camp face tough choic eve escap nt find give away murder die gallow pole,"Action,Crime,Drama"
tt8289020,one day femal journalist receiv inform suspici taxi discov togeth coverag team chase killer taxi consequ went miss incid left unsolv without clue movi base true creepi event,"Crime,Horror,Mystery"
tt8288798,gangster nicknam monster hide away troubl ran reclus lock horn final decid murder reclus order test whether latter could becom mentor stori epitom contemporari overal confus frustrat belief,"Crime,Drama"
tt8231548,excop turn privat investig struggl put togeth piec new case clue find troubl seem follow,"Action,Crime,Drama"
tt8226508,kottayam woman polic offic found rape murder polit machin forc investig team act manner deni justic famili search culprit take investig team border land india chinaan investig follow rape murder polic woman wealthi dysfunct christian famili belong land gentri area get accus primari motiv behind crimethrough investig audienc becom wit stori love lie honor greed famili member investig though nonconclus slowli progress journey sleepi hill kottayam brood border area india china charact end pawn press issu nation face,"Crime,Drama,Romance"
tt8209878,north korea femal elit agent jiwon undercov polic offic south korea one day receiv import mission deliv import thing kim ilsung badg north korea howev lose import thing way north korea get worst situat go north also south deep forest near dmz time two femal serial killer came hide bodi forest appear front encount femal spi two femal killer fate,"Action,Crime,Thriller"
tt8156898,sinc unemploy julian real househusband take care daughter love took debt without tell wife get improvis outlaw,"Comedy,Crime,Drama"
tt8061078,law nt exist everyth permit,"Action,Crime,Drama"
tt8047066,set grungi milieu four friend share bachelor hostel room land troubl local politician son henchmen behind sachindi ra gorr crimecomedi genr soul uniqu charact situat telengana dialect use blend set dialogu rang hilari laughoutloud moment humour situat though lot mayhem happen absolut space slapstick probabl first film indi sensibl tollywood,"Comedy,Crime"
tt8006034,set post apocalypt world beset statewid shutdown veteran detect dispatch investig routin homicid unknowingli find widespread epidem citizen taken mysteri person person reason unknown,"Crime,Horror,Thriller"
tt7953652,juda levi famou film director recent bust closet traumat financi ruin take scalpel hollywood sleaz film group homeless peopl street hollywood traumat financi ruin collaps career juda return former documentari day begin follow group transient edg obscur realiz life cheap world worthless throwaway begin replac object calcul mayhem reshap realiti nearperfect vision chaotic evil inexpens product valu,"Comedy,Crime,Drama"
tt7947108,spiritu freedom real freedom agre singl father li yu autist daughter xiaoyu live poetic life old town color cloud often pass father li yu lover wine danc also loyal dog buddi name mumu well beauti mountain view velveti grassland li yu daughter face bloodi conspiraci save find bounden duti,"Crime,Drama,Family"
tt7946562,velma waitress love sing learn must rais save bar love loan shark door save legaci,"Adventure,Crime,Music"
tt7882096,starcross romant love stori illfat girl paru fall love eventu get marri tv anchor shivu coincident lover past life get kill paru kill join dead husband,"Crime,Drama,Fantasy"
tt7838260,paddayi stori madhava sugandhi newli marri coupl fish commun india driven ambit bring upon selv epic tragedi,"Crime,Drama,Family"
tt7791060,malti mhask accus murder high class owner kavya tara defend malti state courtroom case hard win tara bring forth subdu mental state physic abus hand former caretak malti case unfold complex live malti owner,"Crime,Thriller"
tt7782766,stori greatest manhunt germani notori child serial killer peter kuerten respons sixtyeight crime includ nine homicid thirtyon attempt attack,"Crime,History,Thriller"
tt7654144,daniel young promis vice presid multin financi corpor also playboy play women emot particip room escap game nightmar enwind everi night moreov number countingback mysteri appear arm search girl ident nightmar daniel experi tour underworld unravel mysteri behind girl facial reconstruct year ago final daniel realiz deepest fear aris surviv left end,"Crime,Thriller"
tt7554880,secret within everi group miss take featur film footag found crime scene group film maker go abandon barn film short film case still open,"Crime,Horror,Mystery"
tt7395804,group career thiev plan take racetrack lo angel,Crime
tt7281994,cool cat coolest cat world butch bulli hate alway tri bulli cool cat show kid win cool,"Action,Comedy,Crime"
tt7235666,one brutal home invas five murder two detect wit,Crime
tt7207942,seri event lead demis underground romanian gang midst chao unintent partnership seem form,Crime
tt7160054,violent film portray taiwanes mob code ethic hidden rule clash person moral explor dark miser prison tell stori four differ women xiaoyi qin scar dali miser stuck violent corrupt xiaoyi rais desper father mother left year old father commit suicid jump tall build due mental break gambl debt countless frustrat life made xiaoyi nearli crush xiaoji grew without parent never real friend refug grandmoth rais singl handedli accident die one day loan shark took illeg action collect money street live lone desper life xiaoyi walk life howev xiaoyi choic kill boss father die left stack gambl debt unpaid xiaoji helpless anyth see woman love arrest charg murder xiaoyi sent prison murder gradual establish friendship qin order fight viciou power scar dali brutal big sister jail qin took care xiaoyi xiaoyi remind qin littl sister xiaoyi becam qin proteg learn prison trade howev xiaoyi soon discov violent world thing nt alway seem dali particip drug trade discov expectedli qin fragil balanc prison turf threaten sisterhood test loyalti question could xiao yi abl put past behind begin new quiet life xiaoji brutal experi prison xiaoyi love prevail even come worst four differ women xiaoyi qin scar dalai miser stuck violent corrupt famili xiaoyi met advers father commit suicid left gambl debt xiaoji orphan later find happi love xiaoyi two desper youngster fell love year obstacl wait,"Crime,Drama"
tt6896826,dark comedi disgrac runner forc race life race live other result repres roll dice new way die came wreck everyth pit cheat gangster crook cop exsoldi exwiv lover fallen famili famili fall race light dark,Crime
tt6487642,intrus fast copdrama show regular joe accident get entangl citi biggest drug oper follow stori held prison ruthless mercenari want noth total control use joe pawn meanwhil lapd two best detect case pick piec solv puzzl along way,Crime
tt6214076,mari conniv wife wellknown televangelist goe monik john preacher face divorc meager financi settlement partner mistress ginni rob jp cash fortun split loot discov dead gunshot wound head scheme start unravel piec piec clever coverup murder rule suicid nypd crook cop plan attempt pay detect backfir seri event unfold reveal real perpetr left outwit put pastur cast offbeat charact eccentr cameo stori one man life death take twist turn murki glint cocktail glass,"Comedy,Crime"
tt6181262,team scientist verg medic breakthrough mysteri murder two agent must protect remain survivor tri unravel plot behind assassin,Crime
tt5933040,compos dark parodi kidnap goe wrongan abduct stori begin extrem ideolog end passion vengeanc destruct sarah muhamad former jewish lover set mind fals polit pretext abduct muhamad aveng humili rage broken heart sarah assist yonatan psychopath rightw radic ehud outsid life goal except societi find woman marri kidnap muhamad remot hous surfac seem three purpos abduct extort oliv grove ransom muhamad famili thing nt seem everi one differ plan muhamad sarah want reveng ehud want pleas sarah gain heart yonatan fulfil dream join right wing extremist organ extrem nt even exist time goe mani question rise plot branch thicken muhamad understand way situat becom friend abductor one three,"Comedy,Crime,Drama"
tt5784346,sequel upcom film furi dragon,Crime
tt5725010,detect investig murder seri torn case famili problem tough intellig offic set mission find serial killer respons murder method use suspect inspir mind control hypnoprogram suspect unabl conscious control thought action time crime commit,"Crime,Thriller"
tt5487854,hard time crimin get caught whirlwind kill lunat partner,"Action,Crime"
tt5471472,bayonn new jersey underdog boxer get shot fight champ,"Biography,Crime,Drama"
tt5355410,dark side india nuclear programm,"Crime,Thriller"
tt5086770,music gift teenag girl new orlean th ward torn famili loyalti know right discov older cousin becom violent criminalaurora william yearold girl live parent new orlean neighborhood known local th ward talent young pianist aurora verg leav colleg studi music discov cousin tyrel respons heinou highprofil murder soon aurora face dire conundrum turn tyrel obvious proper thing societ convent famili loyalti complic alreadi tens situat nobodi want brand snitch tightknit commun th ward larg reward stake polic close tyrel aurora must decid will risk safeti famili order right,"Crime,Drama,Family"
tt4857736,ordinari poker night hijack unwelcom guest search miss money five friend reveal secret betray night turn violent ant rais life death,"Crime,Drama,Thriller"
tt4660378,traumat disillus death partner alcohol privat detect must pull togeth drawn investig mob hit threaten ignit war streetstraumat disillus death partner alcohol privat detect name crimson dewitt must pull togeth drawn investig mob hit threaten ignit allout war street tri balanc sober enough work drunk enough cope,"Action,Crime,Mystery"
tt4625030,richard writer travel new york citi detroit michigan complet overdu novel although increas pressur publish richard daydream prevent complet stori month trip encourag best friend karl take persona one charact order come excit novel submit publish richard run major problem meet beauti latina woman name alexandra lie highrol charact find middl gambl ring run local gangster forc somebodi els order get situat quickli learn nt unfortun soul crosshair local syndic,"Action,Crime"
tt4525058,two men must deal group crimin accident kill one,"Comedy,Crime,Drama"
tt4033204,struggl new life new orlean clive follow trevor former professor countri home bayou gain new perspect trevor help clive deal demon clive suck mission kill,"Crime,Drama,Thriller"
tt3976028,small california town mile la celebr worst nightmar come lifein small california town mile la celebr worst nightmar come life new york time best sell author jordan bradley resid jordan quickli find direct target sadist killer write sequel number one hit romeo dream jordan along best friend matti transgend ex best friend dani anyth safe guess til end edg seat cat mous horror film end leav speechless,"Crime,Horror,Mystery"
tt3918784,orphan adopt former villag school teacher seek reveal truth behind crimin activ elderli intern gangster initi heinou busi enterpris focus ethiopia spoiler alert mission intrigu stori focus mysteri contemporari enterpris jame elderli european racket infam decad illeg enterpris includ activ gunrun smuggl throughout africa princip focu ethiopia stori unfold memoir ethiopian orphan adopt earli age foreign school teacher villag adult exsoldi luci seek reveng brutal murder adopt mother import characterdriven relationship introduc plot unfold eg gener schism jame son grandson taffer renown ethiopian chief polic wife enatnesh initi investig event implic death soninfam long career smuggl weapon drug diamond throughout africa elderli intern gangster initi new busi enterpris focus ethiopia spoiler alert film near conclus true natur busi enterpris reveal although mission fiction narr function essenti public servic announc awak audienc one contemporari societi heinou crime,"Crime,Drama,News"
tt3596374,john faust guilt driven detect offer pact demon vengeanc john faust lover trap hell kill three serial killer use signatur style grant access hell set free,"Crime,Horror,Thriller"
tt3254614,clip wing fli featurelength suspens movi loos base novel name william michael barbe movi highlight life lead charact billi ray michael billi ray suffer multipl person disord compound schizophrenia find trial murder crime rememb commit billi ray entangl world confus unbeknownst creat stori told eye peopl billi ray came contact includ sister jenna potenti boss mr green son mother katrina crossexamin state prosecut team lead arrog prosecutor tobi johnson wit stand tell differ encount defend billi ray slowli abl put piec togeth life help childhood psychotherapist dr shelli neiderbach billi sometim delusion sit crowd courtroom unawar sever dilemma often found doodl journal creat noteworthi poetri use defens team fight freedomthi physiolog thriller base cocki state prosecutor tobi johnson jd william challeng consciou prosecut case billi ray michael usman sharif diagnos multipl person disord billi ray find trial crime dosen rememb commit district attorney adam stevenson bill duke manag overli confid tobi also pressur zealou mayor good franki faison win case tobi reluctantli seek advic father retir judg johnson bill cobb billi ray psychotherapist dr neiderbach jen bergum struggl keep hidden past client film bring awar peopl mental ill,"Crime,Drama"
tt2647424,young man learn relinquish respons thing beyond control concentr thing,"Crime,Drama"
tt10465998,impos mission quest becom mightier greater christian circl motiv lot pastor join dark circl confratern,"Action,Crime,Drama"
tt10212512,bitter truth societi actual exist visibl wherea visibl appear behind everi success person someon psycho psychic hisher choic movi bedaad attempt smash mask face peopl,"Crime,Thriller"
tt9357404,lea disturb teenag cope depress bulli best constantli but head singl struggl mother driven bad group call friend wit murder find corner fiercli fight life tri take mani time,"Crime,Drama,Thriller"
tt7165212,tens month follow miscarriag unemploy spell thing final look sean kevin sizemor lisa miller elizabeth harnoi sean land dream job advertis firm sean assist jen cerina vincent selfproclaim work wife begin vy affect soon becom clear stop noth rip marriag apart claim,Crime
tt8649454,ace conman uttam effortlessli think scheme swindl gullibl greedi folk howev rare occas thing nt go accord plan end clutch ruthless gang demand scheme money,"Crime,Thriller"
tt1255919,humor take sir arthur conan doyl classic mysteri featur sherlock holm doctor watson,"Comedy,Crime,Mystery"
tt7194318,bodi undercov la vega detect begin turn around citi holiday season detect matt striker matthew bonesteel unstabl recent loss assign case begin flirt notion leak within depart blame shift quickli one quit sure detect innoc isol becom obsess case sometim bend law achiev outcom time three hit men codi angelo chri kulikowski sloan hickson struggl locat last undercov offic,"Comedy,Crime"
tt6867770,wake coma stanton search answer church rememb journey took sleep find god save wife demon save friend make mistak local drug dealer could cost life abl save demon metaphor,"Crime,Horror,Thriller"
tt6786730,two half brother one affect autism schizophrenia american friend set get live back togeth inexperienc group thug violat peac take hostag,Crime
tt6094986,roadsid motel adjoin room four guest writer monk whore thug disput sex quarrel murder beat,"Comedy,Crime"
tt6914542,set busan south korea lee doosam build empir drug smuggler busan underworld public prosecutor kim ingoo attempt take lee doosam,"Action,Crime,Drama"
tt7855592,young writer fiction detect stori attempt solv mysteri writer retreat,"Crime,Drama,Mystery"
tt8523334,nicki larson best privat investig busi call highrisk mission recov perfum cupid perfum would make irresist one use,"Action,Comedy,Crime"
tt7642618,derrick extrem debt put drug game associ antonio,"Action,Crime,Drama"
tt7295378,robertico live curacao noella maduro prepar ask marri someth happen ken maduro noella dad thing go wrong noell tell robertico want timeout fli dad netherland noella take father job host special auction togeth wealthi young man robertico find also fli netherland win noella help aunt judeska staff fc kip radjesh nolti kofi asian hustler ping ping hope convinc marri,"Action,Comedy,Crime"
tt8095860,three men friend childhood cross compar person experi question life coupl famili professionalfrancoi ozon grip drama follow three men band togeth dismantl code silenc continu protect priest abus decad ago base event convict cardin philipp barbarin lyon conceal conduct father bernard preynat grace god compassion illustr vari effect trauma survivor famili urgent portrait resist power mobil mysteri faith,"Crime,Drama"
tt7959026,yearold horticulturist korean war veteran turn drug mule mexican cartelclint eastwood star earl stone man broke alon face foreclosur busi offer job simpli requir drive easi enough unbeknownst earl sign drug courier mexican cartel well well fact cargo increas exponenti earl assign handler nt one keep tab earl mysteri new drug mule also hit radar hardcharg dea agent colin bate even money problem becom thing past earl past mistak start weigh heavili uncertain time right wrong law enforc cartel enforc catch peoria illinoi korean war veteran earl stone nineti yearold horticulturist alway priorit work friend famili estrang exwif mari daughter iri granddaught ginni celebr engag fianc earl complet broke agre becom mule suspicion mexican cartel transport drug illinoi chicago place alia tata make money resolv mani financi issu famili friend meanwhil effici dea agent colin bate charg investig notori cartel mysteri tata partner agent trevio,"Crime,Drama,Thriller"
tt2949654,pinnacl splendor himalaya sit kashmir valley one stunningli picturesqu place earth today grandeur also becom ubiquit ravag terror counter terror oper circumst anyon roam hill would tell shock truth combat soldier statist safer women calm melodi idyl villag disrupt abras sputter semiautomat gunfir one neighborhood see aasma delic young girl aasma heaven hell collid leader local villag conceal four arm milit across border hous due cours notic young girl mesmer delic beauti overcom lust kidnap aasma leader reason way suicid terrorist attack probabl last opportun woman martyrdom aasmaa night torment unfold one milit intekhaab show sign regret know islam permit cruelti woman presenc arm hostil must find clever way delay inevit tight cramp quarter odd stack intekhaab find way save assma differ face socal islam terror emerg desper plight aasma yet anoth faceless victim endless conflict four cross border terrorist one cleric one helpless girl confin abandon militari bunker picturesqu himalaya night terror molest murder gruesom act ensu name holi war anoth jihad make anoth war zone conflict put shock perspect aasmaroutin seren kashmir villag life match routin gunshot punctuat calm embrac mountain aasma heaven hell collid four arm pakistani milit sneak border harbor local leader five men kidnap aasma one night rapaci intent leav dead move locat morn night torment agoni unfold one milit chang heart presenc arm hostil must find way delay inevit find whatev mean necessari save protect soul gunshot one one tormentor die aasma live see morn heavenli dew,"Action,Crime,Drama"
tt9641092,beauti young spi move back rural home solv mysteri help homeschool childhood friendsbethani shanholtz beauti young govern oper move back rural virginia hometown get away spi life townspeopl start get murder govern boss convinc investig unoffici allow use agenc resourc call upon friend childhood homeschool farm girl investig quickli lead bethani exboyfriend jami mysteri surround sister mysteri death mani year ago closer bethani get answer murder seem relat past town futur,"Crime,Drama,Mystery"
tt2677722,russel pool jack jackson investig murder rapper notori big tupac shakur,"Biography,Crime,Drama"
tt9447662,inspector boro incorrupt nononsens cop highli skill martial art get suspend bash well connect gang traffick superintend polic ask unoffici track girl name sabrina rai miss four day investig learn someon taken villag guwahati citi pretext train hospit industri tri track inspector boro find phone switch miss hostel head guwahati punch kick way uncomfort truth sabrina might entangl traffick ring run corrupt policeman,"Action,Crime,Thriller"
tt6964844,woman checker past must protect son man bring troubl isol bed breakfast,"Crime,Drama,Thriller"
tt9426186,former polic investig decid go prison island reveng brutal kill famili,"Action,Crime,Thriller"
tt9866700,young man becom possess play ouija game ghost hunter investig evil spirit dwell within,"Horror,Thriller"
tt9816310,featur length black scienc fiction horrorfantasi antholog,"Fantasy,Horror,Sci-Fi"
tt9764972,accord ancient tradit one central iran villag face intens drought villag elder decid perform tradit qanat bride,Horror
tt9586350,aime andrew deal grief anxieti violent attack,"Horror,Sci-Fi"
tt9536636,biker check vampir check boob doubl check els need,Horror
tt9423080,group misfit kid get togeth recent put altern school decid go runaway hold local haunt wood strang thing start happen one one begin disappear,Horror
tt9408030,recut version ghost hanley hous remov footag contain plot hole origin replac newlyshot materi,Horror
tt9346636,truth follow stori penni wise love rever clown fell victim stephen king demon whole self documentari team follow life stori hope clear innoc name,Horror
tt9289116,stori first date gone wrong,"Comedy,Horror"
tt9252028,pair awkward cop dimwit intern investig seri murder,"Action,Comedy,Drama"
tt9155002,viru break cartelcontrol citi turn peopl violent bloodthirsti maniac militari team dispatch evacu resid quickli becom trap violent crimin armi undead last ditch effort cartel armi join forc order fight way citi infect stop,Horror
tt9125468,man woman compel mysteri higher power lose,"Drama,Horror,Sci-Fi"
tt9106456,psycholog student sever fear alon imprison hous one night face fear fear unreal,Horror
tt9095224,halloween way halloween horror special vol ii seat take journey physiolog thriller take world frighten devast fear,Horror
tt9085536,syd retir fx directorhi relev work extraterrestri creatur vecino film mix fantasi plot histor attack commit spanish terrorist movement eta somebodi prepar remak,"Comedy,Drama,Horror"
tt9056988,emmi live uk come india organis real life game game launch india player state particip win rs crore three young boy two beauti girl becom part game emmi stay ancestr bungalow realis watch someon later find particip die one one mysteri unfold two particip aliv order safe two consult paranorm expert close father reveal daughter rape last birth daughter last birth take reveng rape kill later final emmi rohan could save particip shruti,"Horror,Mystery,Thriller"
tt9024942,callou psycholog horror movi take place insid head girl coma keep one nightmar anoth result death everi time everi nightmar get understand happen happen coma accid plan begin movi minut long origin stori written direct iraqi author amin film cast crew world includ america china russia mauritiu somalia cours iraq done independ compani prismal entertain creat amin,Horror
tt9000546,peopl begin attack other without appar reason street brazil gener chao caus complet breakdown societi know nobodi know addict crazi zombi extraterrestri survivor hide wait rescu film show last moment charact without ever show caus panic,"Horror,Mystery,Thriller"
tt8993694,young man sleep live give surplu sleep unstabl violent tv execut experi breakdown real life dream televis actress small screen enter real life,"Comedy,Horror,Thriller"
tt8973954,woman awaken remot locat news world know end adjust new realiti event unfold detail emerg may suggest otherwis,"Horror,Thriller"
tt8933716,wealthi rural cambodian groom bol fall love bride rah whose reaction arrang marriag unfold seri bizarr incid leav everyon believ must possess,Horror
tt8865770,unknown otherworldli forc stalk three friend weekend getaway,"Drama,Horror,Sci-Fi"
tt8865106,depress jewish novelist spiral mad suffer writer block attempt pen second novel,"Comedy,Drama,Horror"
tt8718116,group naiv summer camp counselor hunt viciou psychopath,Horror
tt8708174,genrebend operat cinema featur classic music piec psycholog horror featur tell stori young coupl issu confront unexpect pregnanc film explor love romanc chang gender role theme power control,"Drama,Fantasy,Horror"
tt8665788,homanand sincer man work hard fulfil father dream buy hous great effort hard work final pool enough money buy hous day come know ghostli creatur hous tri scare properti,Horror
tt8649570,featur film adapt citizen normal awardwin seri center cynic serial killer,"Drama,Horror"
tt8640242,greatest horror film ever made never experienc nosferatu reanim,"Animation,Horror"
tt8618714,gari first day homeless encount intrigu stranger demon destini realiz sometim got ta go order rise upon gari first day homeless delv new situat charm resili attempt urban homestead inspir absurd creativ financ name sunnyd mysteri goth girl tara inadvert lead dreamlik world sinist forc truli challeng realiz sometim got ta go order rise gari underworld superstylish nodialogu featur speak awesom origin soundtrack immers imageri tell tale human kind address grappl assumpt make mean,"Drama,Fantasy,Horror"
tt8542864,friend enemi one thing common mark leav girlfriend natasha girl truli love brother andrew come relationship will sacrific adher andrew manipul keep natasha ignor deed take seri violent necromant event thu lead purpos much darker scheme ultim natasha know love cure,"Drama,Horror"
tt8542722,woman face stay remot famili hous deep forest first time child vanish wood four year ago,"Drama,Horror,Thriller"
tt8493136,sever injur man woman awak abandon sanitarium discov sadist caretak hold key freedom horrif answer real ident,"Horror,Thriller"
tt8489728,trippi trip base differ dimens life happen differ timelin clash time illus sound car put halt ring mobil bell come across anni beauti independ girl hear anni talk phone mother understood work unawar wait behind close door hous kunal boyfriend wait side alreadi trip begin trip start fresh begin hostag shadi dingi forbidden villag experi turn scarier spookier breath take hereon spooki event add bit bit gather courag anni survey situat petrifi effort escap lead understand lock insid,"Horror,Mystery,Thriller"
tt8477884,base true stori student found dead courtyard countri hous brittani franc jump window neighbour said possess,Horror
tt8472870,year meteor strike wipe half popul earth turn remaind zombi doctor martha king small group survivor must find cure time run,"Action,Comedy,Horror"
tt8470356,jay tanner crew get rich fake demon hunt post youtub unfortun jay crew demon hunt turn real,Horror
tt8458716,adventur profession ventur deep forest wildlif photographi end experienc lifechang adventur,Horror
tt8434266,hope celesti travel world help peopl need definit angel though,"Horror,Mystery,Thriller"
tt8389598,mental derang maniac stalk victim fulfil drug addict sedat psychosi becom victim unexpect invas undead prototyp film use present futur larger product,"Horror,Thriller"
tt8359620,believ ghost one time nt believ,Horror
tt8355868,termin ill man spend last day cope death awaken monster,"Drama,Horror,Thriller"
tt8332878,david pace linearmind brainiac awaken terrifi bodi experi obsess tri come grip maze media philosophi medicin sex propel life dizzi downward spiral,"Fantasy,Horror,Sci-Fi"
tt8302502,nethra nt believ love decid marri guy father choic nethra alway dream man meet murder girl one day meet man wild dream real life startl exist happen next spooki stori unfold reveal seri horrifi secret,"Horror,Mystery,Thriller"
tt8287434,undead former militia soldier indestruct sniper widow goe look bodi husband come across corps want end new unjust life,Horror
tt8246150,pair documentari filmmak strand mountain film crew make sequel favorit horror film,Horror
tt8206940,omnibu tale horror adventur master suspens damon packard,Horror
tt8189052,young report investig isol region tale told moon stori poor melancholi man plung region turmoil violenc,"Drama,Fantasy,Horror"
tt8184104,innocentlook young boy mysteri appear nondescript small town fear set unleash reign terror,"Drama,Horror,Mystery"
tt8179740,grace offer temporarili move small church clear wall mural immedi agre need money much soon learn church main relic store terrifi secret veng ghost,Horror
tt8129908,look like nt plot summari titl yet first contribut click edit page button bottom page learn plot summari submiss guid,"Comedy,Horror"
tt8129892,look like nt plot summari titl yet first contribut click edit page button bottom page learn plot summari submiss guid,"Comedy,Horror"
tt8111030,alex guy live desol countri place surround rough violent peopl everi day nt miss opportun torment insid alex someth wrong someth push get someth bloodthirsti,Horror
